box,date,time,pick_time
1066,2014-01-07,23:30:15.852386,9014.316000
1067,2014-01-07,23:30:25.691071,9838.685000
1068,2014-01-07,23:30:35.508608,9817.537000
1069,2014-01-07,23:30:45.807151,10298.543000
1070,2014-01-07,23:30:55.507792,9700.641000
1071,2014-01-07,23:31:05.404314,9896.522000
1072,2014-01-07,23:31:14.956904,9552.590000
1073,2014-01-08,00:14:51.706332,12047.302000
1074,2014-01-08,00:15:04.239686,12533.354000
1075,2014-01-08,00:15:15.930810,11691.124000
1076,2014-01-08,00:15:25.790390,9859.580000
1077,2014-01-08,00:15:36.843977,11053.587000
1078,2014-01-08,00:15:48.579070,11735.093000
1079,2014-01-08,00:16:00.588271,12009.201000
1080,2014-01-08,00:16:11.270951,10682.680000
1081,2014-01-08,00:16:37.723877,26452.926000
1082,2014-01-08,00:28:17.979565,9633.641000
1083,2014-01-08,00:28:29.903919,11924.354000
1084,2014-01-08,00:28:39.710774,9806.855000
1085,2014-01-08,00:28:49.683263,9972.489000
1086,2014-01-08,00:28:58.751128,9067.865000
1087,2014-01-08,00:29:08.795300,10044.172000
1088,2014-01-08,00:29:18.045125,9249.825000
1089,2014-01-08,00:29:28.101480,10056.355000
1090,2014-01-08,00:29:38.419977,10318.497000
1091,2014-01-08,00:29:46.164003,7744.026000
1092,2014-01-08,00:29:53.968739,7804.736000
1093,2014-01-08,00:30:04.296248,10327.509000
1094,2014-01-08,00:30:16.980429,12684.181000
1095,2014-01-08,00:30:27.852889,10872.460000
1096,2014-01-08,00:30:38.246415,10393.526000
1097,2014-01-08,00:30:47.601084,9354.669000
1098,2014-01-08,00:30:56.800620,9199.536000
1099,2014-01-08,00:31:06.801282,10000.662000
1100,2014-01-08,00:31:16.388966,9587.684000
